
활성 연결

  프로토콜  로컬 주소              외부 주소              상태            PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       1544
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:3000           0.0.0.0:0              LISTENING       14920
  TCP    0.0.0.0:3389           0.0.0.0:0              LISTENING       1896
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       11276
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       19396
  TCP    0.0.0.0:14430          0.0.0.0:0              LISTENING       5592
  TCP    0.0.0.0:14440          0.0.0.0:0              LISTENING       5592
  TCP    0.0.0.0:20300          0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:21300          0.0.0.0:0              LISTENING       12744
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       1232
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1032
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       1404
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       2552
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       3208
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       3204
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       1232
  TCP    0.0.0.0:49698          0.0.0.0:0              LISTENING       1164
  TCP    0.0.0.0:55920          0.0.0.0:0              LISTENING       11240
  TCP    0.0.0.0:63252          0.0.0.0:0              LISTENING       21972
  TCP    10.33.56.86:139        0.0.0.0:0              LISTENING       4
  TCP    10.33.56.86:3000       10.33.56.106:54692     TIME_WAIT       0
  TCP    10.33.56.86:3000       10.33.56.106:59725     TIME_WAIT       0
  TCP    10.33.56.86:7680       10.33.62.219:49519     TIME_WAIT       0
  TCP    10.33.56.86:7680       10.33.63.123:62823     TIME_WAIT       0
  TCP    10.33.56.86:7680       10.34.8.90:55558       TIME_WAIT       0
  TCP    10.33.56.86:7680       10.38.90.24:60024      TIME_WAIT       0
  TCP    10.33.56.86:49387      52.97.118.34:443       ESTABLISHED     18252
  TCP    10.33.56.86:49521      20.189.173.6:443       TIME_WAIT       0
  TCP    10.33.56.86:49522      146.75.114.172:80      TIME_WAIT       0
  TCP    10.33.56.86:49526      34.54.84.110:443       TIME_WAIT       0
  TCP    10.33.56.86:49558      40.100.47.50:443       ESTABLISHED     1420
  TCP    10.33.56.86:49676      10.33.129.50:445       ESTABLISHED     4
  TCP    10.33.56.86:49744      52.123.226.131:443     ESTABLISHED     13468
  TCP    10.33.56.86:49775      172.217.209.95:443     ESTABLISHED     25428
  TCP    10.33.56.86:50699      52.111.194.39:443      ESTABLISHED     22748
  TCP    10.33.56.86:52385      40.99.9.226:443        ESTABLISHED     13468
  TCP    10.33.56.86:54487      108.177.125.188:5228   ESTABLISHED     16240
  TCP    10.33.56.86:54953      52.123.173.232:443     ESTABLISHED     13468
  TCP    10.33.56.86:55046      40.104.69.82:443       ESTABLISHED     7784
  TCP    10.33.56.86:55487      40.104.69.34:443       ESTABLISHED     18252
  TCP    10.33.56.86:55530      20.50.73.4:443         TIME_WAIT       0
  TCP    10.33.56.86:55532      52.110.12.131:443      ESTABLISHED     19428
  TCP    10.33.56.86:55535      34.54.84.110:443       TIME_WAIT       0
  TCP    10.33.56.86:55538      34.54.84.110:443       TIME_WAIT       0
  TCP    10.33.56.86:55842      52.110.15.69:443       ESTABLISHED     1420
  TCP    10.33.56.86:56116      10.234.16.237:8081     ESTABLISHED     12676
  TCP    10.33.56.86:56230      23.103.236.128:443     ESTABLISHED     18252
  TCP    10.33.56.86:56596      10.234.26.31:80        CLOSE_WAIT      9796
  TCP    10.33.56.86:56660      142.251.118.95:443     ESTABLISHED     25428
  TCP    10.33.56.86:56679      216.239.36.223:443     ESTABLISHED     25428
  TCP    10.33.56.86:57192      218.147.24.97:8293     ESTABLISHED     4728
  TCP    10.33.56.86:58040      211.115.106.202:80     CLOSE_WAIT      4620
  TCP    10.33.56.86:59012      10.234.20.74:3200      ESTABLISHED     17704
  TCP    10.33.56.86:59406      150.171.28.11:443      ESTABLISHED     1420
  TCP    10.33.56.86:59493      140.82.114.26:443      ESTABLISHED     16240
  TCP    10.33.56.86:59504      142.251.118.95:443     ESTABLISHED     25428
  TCP    10.33.56.86:59505      142.251.119.132:443    TIME_WAIT       0
  TCP    10.33.56.86:59517      10.234.19.34:443       TIME_WAIT       0
  TCP    10.33.56.86:59518      211.115.106.205:80     CLOSE_WAIT      4620
  TCP    10.33.56.86:60304      172.217.221.84:443     ESTABLISHED     16240
  TCP    10.33.56.86:61000      40.104.69.66:443       TIME_WAIT       0
  TCP    10.33.56.86:61258      52.123.161.55:443      ESTABLISHED     20208
  TCP    10.33.56.86:61931      10.234.26.31:80        CLOSE_WAIT      9796
  TCP    10.33.56.86:61932      10.234.26.31:80        CLOSE_WAIT      9796
